Chromosomes, Chromosome length, Number of reads, Read length, Edits, PROJECT-5-PYTHON-ARMANDO-CHRISTIAN-PEREZ, PROJECT-5-C-O-NO    , PROJECT-5-GO-HOLDET, READMAP-PYTHON     , READMAP-GO          , READMAP-C-CMAKE     , PROJECT-5-PYTHON-MS-WORLD-WIDES 
10         , 25000            , 100            , 200        , 1    , 0.6209971904754639                      , 0.04500293731689453 , 0.1673412322998047 , 0.2867100238800049 , 0.03520607948303223 , 0.021828174591064453, 3.594391107559204               
10         , 25000            , 100            , 200        , 1    , 0.5787620544433594                      , 0.03197503089904785 , 0.1528477668762207 , 0.2555527687072754 , 0.027845144271850586, 0.01639103889465332 , 3.9268133640289307              
10         , 25000            , 100            , 200        , 1    , 0.5717778205871582                      , 0.03197622299194336 , 0.14719796180725098, 0.25466179847717285, 0.027624845504760742, 0.01594376564025879 , 3.5746171474456787              
10         , 25000            , 100            , 200        , 1    , 0.5733060836791992                      , 0.031394004821777344, 0.14651799201965332, 0.25197482109069824, 0.028192996978759766, 0.015607118606567383, 3.5764400959014893              
10         , 25000            , 100            , 200        , 1    , 0.580286979675293                       , 0.03186368942260742 , 0.14726805686950684, 0.2525959014892578 , 0.02752828598022461 , 0.016441822052001953, 3.607180118560791               
10         , 25000            , 100            , 200        , 1    , 0.6023068428039551                      , 0.03198385238647461 , 0.14676690101623535, 0.25577402114868164, 0.028040170669555664, 0.015797138214111328, 3.5882132053375244              
10         , 25000            , 100            , 200        , 1    , 0.5764269828796387                      , 0.03197002410888672 , 0.14745807647705078, 0.2528839111328125 , 0.027448177337646484, 0.015774011611938477, 3.6032819747924805              
10         , 25000            , 100            , 200        , 1    , 0.5655851364135742                      , 0.03181290626525879 , 0.1476130485534668 , 0.25618696212768555, 0.027677297592163086, 0.016355276107788086, 3.5932936668395996              
10         , 25000            , 100            , 200        , 1    , 0.5741457939147949                      , 0.032087087631225586, 0.15176796913146973, 0.2528340816497803 , 0.027359962463378906, 0.015857934951782227, 3.5958657264709473              
10         , 25000            , 100            , 200        , 1    , 0.5745749473571777                      , 0.0320439338684082  , 0.14731192588806152, 0.25180530548095703, 0.027367830276489258, 0.015871286392211914, 3.6093931198120117              
10         , 25000            , 100            , 200        , 1    , 0.5722711086273193                      , 0.03167414665222168 , 0.14721083641052246, 0.2545149326324463 , 0.028031110763549805, 0.016058921813964844, 3.5949511528015137              
10         , 25000            , 100            , 200        , 1    , 0.5634407997131348                      , 0.03207206726074219 , 0.1455669403076172 , 0.25188183784484863, 0.02764415740966797 , 0.015876054763793945, 3.595184803009033               
10         , 25000            , 100            , 200        , 1    , 0.5763559341430664                      , 0.03220081329345703 , 0.1473538875579834 , 0.25310182571411133, 0.027497053146362305, 0.01578497886657715 , 3.5977048873901367              
10         , 25000            , 100            , 200        , 1    , 0.5745079517364502                      , 0.03178286552429199 , 0.1464998722076416 , 0.2546570301055908 , 0.0279538631439209  , 0.01590728759765625 , 4.542018890380859               
